状态,终端MAC地址,终端IP地址,关联SSID,关联频段,关联信道,关联微AP名称,关联AP名称,AC名称,位置,AC的IP地址,关联AP的IP地址,账号,终端在线时长(s)
离线,32-E1-E7-EF-C5-51,10.202.201.168,NCUWLAN,2.4G,1,,前湖北-行政楼-317,RUIJIE-AC,无线/前湖北/行政楼,10.1.0.15,10.152.6.3,,0
离线,A2-9E-C0-1E-C2-31,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,52-32-58-BD-60-88,10.210.149.145,NCUWLAN,5G,,,青山湖北-附属中学-初中3F311,AirEngine9700S-S,无线/青山湖北/附属中学,10.1.0.17,210.35.253.22,,0
离线,E2-6C-D9-7D-6C-76,,,,,,DHQ-CLJ-509,ncu-wlan-master,,10.1.0.13,,,0
离线,82-2D-93-74-3B-0A,,,2.4G,,,青山湖北-成教楼-407,ncu-wlan-master,无线/青山湖北/成教楼,10.1.0.13,10.76.127.67,,0
离线,DE-34-B1-09-2D-F4,10.202.103.0,NCUWLAN,5G,157,,前湖北-主教楼-4F-C425,RUIJIE-AC,无线/前湖北/主教学楼,10.1.0.15,10.62.0.3,"446965881315602791,1,1744172495",0
离线,D6-25-6F-01-35-BE,10.202.152.232,NCUWLAN,2.4G,,,前湖北-信工楼-A418-1,NCU_HW_AC1,无线/前湖北/信工楼,10.1.0.18,10.133.0.56,,0
离线,72-E8-1C-3D-8A-15,10.202.144.104,NCUWLAN,2.4G,6,,前湖南-2教-108,RUIJIE-AC,无线/前湖南/第二教学大楼,10.1.0.15,10.70.0.133,,0
离线,62-DD-20-18-BD-1C,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,BC-E2-65-BB-0B-DC,10.208.103.16,NCUWLAN,5G,44,,东湖南-大学生活动中心-1F-2,RUIJIE-AC,无线/东湖南/大学生活动中心,10.1.0.15,10.74.0.33,,0
离线,42-AE-3E-84-47-E5,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,62-14-48-15-EC-4B,,NCUWLAN,2.4G,,,前湖北-校医院-1f-01,NCDX-AC-H3C,无线/前湖北/校医院,10.1.0.16,10.62.0.244,,0
离线,D2-4E-67-94-0E-78,,,5G,,,东湖南-基础教学楼-3f-308,ncu-wlan-master,无线/东湖南/基础教学楼,10.1.0.13,10.50.0.68,,0
离线,E4-A7-C5-A2-02-70,,NCUWLAN,2.4G,,,前湖北-理科楼-8f-b-06,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.218.162,"288484204598322098,1,1742549283",0
离线,B2-5F-77-8C-71-46,10.202.185.62,NCUWLAN,5G,36,,前湖北-行政楼-313,RUIJIE-AC,无线/前湖北/行政楼,10.1.0.15,10.152.6.5,,0
离线,FA-E9-9C-E4-FC-0F,10.248.249.98,NCUWLAN,2.4G,,,前湖南-医创中心-2F-252-2,NCU_HW_AC1,无线/前湖南/医创中心,10.1.0.18,10.157.0.124,"397568257780965466,1,1756261693",0
离线,52-B5-11-DD-63-FC,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,16-66-83-CA-71-89,,NCU-2.4G,2.4G,,,前湖北-外经楼-1f-03,NCDX-AC-H3C,无线/前湖北/外经楼,10.1.0.16,222.204.32.49,"108019700143730954,2,1758077213",0
离线,12-E0-E0-87-F3-E1,,NCUWLAN,2.4G,,,东湖南-研究生楼-108,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.4,,0
离线,EE-60-50-72-3E-BA,10.202.220.187,NCUWLAN,5G,36,,28d0.f59a.ed06,RUIJIE-AC,,10.1.0.15,10.161.64.28,"QH812,1,1757656426",0
离线,92-46-4E-14-6F-18,,NCUWLAN-TEST,5G,,,前湖南-第二教学大楼-1FJMDT-1,NCDX-AC-H3C,无线/前湖南/第二教学大楼,10.1.0.16,10.157.16.121,,0
离线,32-E0-3F-07-33-F9,10.210.27.38,NCUWLAN,5G,,,青山湖北-附属中学-高中4F420,AirEngine9700S-S,无线/青山湖北/附属中学,10.1.0.17,210.35.253.36,,0
离线,E6-A3-CA-80-7E-50,,NCU-2.4G,2.4G,,,青山湖北-分析测试中心-5f-02,NCDX-AC-H3C,无线/青山湖北/分析测试中心,10.1.0.16,10.81.0.9,"069564709226644200,1,1746402863",0
离线,12-AF-A3-84-45-52,,NCUWLAN-TEST,2.4G,,,东湖南-图书馆-407-G4,NCDX-AC-H3C,无线/东湖南/图书馆,10.1.0.16,210.35.150.217,"898826968114917997,1,1746972745",0
离线,02-4F-23-0D-1A-12,10.208.238.210,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,,0
离线,A2-A0-CF-1E-30-FA,,,2.4G,,,blg-2f-2,ncu-wlan-master,,10.1.0.13,10.76.26.136,,0
离线,62-A7-B0-DC-B1-86,10.202.178.59,NCUWLAN,2.4G,9,,前湖北-9~10食堂02,RUIJIE-AC,,10.1.0.15,10.191.0.241,"576833144889787937,1,1748221741",0
离线,1E-60-0A-7F-0A-4A,,NCUWLAN,5G,,,前湖北-慧源楼-242-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.101,,0
离线,82-BA-B9-CF-93-E3,,,2.4G,,,blg-3f-3,ncu-wlan-master,,10.1.0.13,10.76.161.177,,0
离线,CA-64-8B-5D-FA-D5,,,,,,,NCDX-AC-H3C,,10.1.0.16,,"778420953379987519,1,1750496243",0
离线,22-C7-DD-68-04-57,10.210.182.67,NCUWLAN,5G,44,,青山湖北-一食堂-st01,RUIJIE-AC,,10.1.0.15,10.76.1.201,,0
离线,22-78-E2-2A-6F-E0,,,2.4G,,,前湖南-教学楼1-406,ncu-wlan-master,无线/前湖南/第一教学大楼,10.1.0.13,10.70.0.27,,0
离线,FE-58-0A-78-5A-8D,10.202.243.6,NCUWLAN,5G,165,,c0b8.e616.9459,RUIJIE-AC,,10.1.0.15,10.62.1.133,"777279623172309775,1,1746662197",0
在线,2E-5F-B8-F8-C6-5B,10.202.172.195,NCUWLAN,2.4G,11,,前湖北-慧源楼-215-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.4,"036445497576430419,2,1758077403",2154
离线,72-6B-13-F4-51-73,,,2.4G,,,blg-2f-2,ncu-wlan-master,,10.1.0.13,10.76.26.136,,0
离线,9E-A6-6A-96-6D-10,,NCUWLAN,5G,,,前湖北-图书馆-A1701-C1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.198,"462525959439910661,1,1758019530",0
离线,98-5F-41-A6-C8-09,,NCU-2.4G,2.4G,,,前湖北-前湖图书馆-20f-a2001-1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.99,"649636221764857687,1,1757608023",0
离线,6A-DB-AF-7E-F0-84,,,2.4G,,,东湖南-成教楼-505,ncu-wlan-master,无线/东湖南/成教学院,10.1.0.13,10.81.0.31,"090397780012744429,1,1757152206",0
离线,18-93-41-76-E8-E6,,NCUWLAN,5G,,,前湖北-图书馆-A1701-G1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.199,"395319227230551558,1,1757250333",0
离线,B2-29-80-38-7C-6F,10.208.47.112,NCUWLAN,5G,149,,东湖南-基础楼-4F-01,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.35,,0
离线,12-DF-89-6D-06-85,,NCUWLAN,2.4G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
离线,92-7C-E1-A8-68-5D,10.102.179.81,NCU-2.4G,2.4G,,,前湖南-博士楼-6f-601,NCDX-AC-H3C,无线/前湖南/博士楼,10.1.0.16,10.137.4.16,"132529846834454544,1,1758076571",0
离线,2C-33-58-45-E0-ED,,NCUWLAN,5G,,,前湖北-图书馆-A1901-C2,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.200,"847172938294438459,1,1758034170",0
离线,4C-11-54-1B-1F-60,,,2.4G,,,前湖北-游泳馆-b128,ncu-wlan-master,无线/前湖北/游泳馆,10.1.0.13,10.183.4.6,,0
离线,B0-68-E6-4B-38-F9,,NCUWLAN,5G,,,前湖北-慧源楼-107-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.114,"631723089075236203,1,1755611118",0
离线,52-B0-6B-52-07-C4,10.208.21.251,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,,0
离线,9A-DA-D9-97-58-C5,,NCUWLAN,2.4G,,,前湖北-图书馆-A0202-C1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.179,"177069346835544219,1,1757858748",0
离线,52-7B-8A-EB-BA-FE,,,2.4G,,,前湖北-游泳馆-dt,ncu-wlan-local,无线/前湖北/游泳馆,10.1.0.14,10.62.0.14,,0
离线,82-A8-5E-98-56-4A,,NCUWLAN,2.4G,,,青山湖北-安保楼-4f-03,NCDX-AC-H3C,无线/青山湖北/安保楼,10.1.0.16,10.76.88.136,,0
离线,D2-69-74-FF-DF-E9,,NCUWLAN-TEST,5G,,,东湖南-图书馆-201-C1,NCDX-AC-H3C,无线/东湖南/图书馆,10.1.0.16,210.35.148.104,,0
离线,12-4E-33-FB-BC-1A,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,26-A8-29-74-E3-F4,,NCUWLAN,2.4G,,,东湖南-继教楼-102-C1,NCDX-AC-H3C,无线/东湖南/继续教育学院,10.1.0.16,210.35.150.229,"106538199297103227,1,1748696924",0
离线,A2-C8-4E-64-14-2B,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,E2-AA-BF-D4-25-70,,NCUWLAN,2.4G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
离线,62-87-53-B5-F5-5E,,NCU-2.4G,2.4G,,,青山湖北-物理楼北-1f-04-new,NCDX-AC-H3C,无线/青山湖北/物理楼,10.1.0.16,10.76.179.27,,0
离线,12-79-64-EE-3D-91,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,12-32-FB-6F-49-C0,10.210.120.164,NCUWLAN,2.4G,1,,青山湖北-一食堂-st02,RUIJIE-AC,无线/青山湖北/一食堂,10.1.0.15,10.76.1.203,,0
离线,02-56-47-A9-C1-2C,10.202.23.140,NCUWLAN,5G,36,,前湖北-主教楼-3F-A306,RUIJIE-AC,无线/前湖北/主教学楼,10.1.0.15,10.62.0.119,,0
离线,58-1C-F8-7C-53-21,,NCUWLAN,5G,,,前湖南-第一教学大楼-105-G1,NCDX-AC-H3C,无线/前湖南/第一教学大楼,10.1.0.16,10.157.16.28,"180269518858150553,2,1758077721",0
