状态,终端MAC地址,终端IP地址,关联SSID,关联频段,关联信道,关联微AP名称,关联AP名称,AC名称,位置,AC的IP地址,关联AP的IP地址,账号,终端在线时长(s)
离线,7A-78-E4-CA-AA-ED,,,2.4G,,,前湖北-体育场-101,ncu-wlan-master,无线/前湖北/体育场,10.1.0.13,10.63.0.10,"838087145329472378,1,1757805138",0
离线,02-11-46-83-EE-16,10.202.180.120,NCUWLAN,2.4G,,,前湖北-机电楼-E217-1,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.130.60,"478769767417357501,1,1756976623",0
离线,46-97-4E-0C-98-18,,NCUWLAN,5G,,,前湖北-理科楼-4f-a-09,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.77.160,,0
离线,62-1C-1C-95-ED-90,,NCUWLAN,5G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
离线,E2-00-D5-03-55-68,10.202.241.157,NCUWLAN,5G,,,前湖北-机电楼-E620A-8口光,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.129.191,,0
离线,62-DF-22-A1-16-1E,10.208.41.140,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,02-A8-C9-02-DB-33,,,2.4G,,,前湖北-建工楼-1f-a110,ncu-wlan-master,无线/前湖北/建工楼,10.1.0.13,10.54.117.218,"442090018191653980,1,1745125659",0
离线,BE-E6-F9-67-18-E4,10.202.72.235,NCUWLAN,5G,149,QHXQ-LKL-SYS-map752-1f-01,QHXQ-LKL-SYS-AM5528-01,RUIJIE-AC,,10.1.0.15,10.54.149.35,"713323291107399913,1,1742613164",0
离线,A6-39-A0-CC-7A-AE,10.202.196.229,NCUWLAN,2.4G,1,,c0b8.e60f.27b9,RUIJIE-AC,,10.1.0.15,10.62.1.161,"367042002722433337,1,1746110533",0
离线,9E-08-12-54-58-45,,NCUWLAN-TEST,5G,,,前湖北-慧源楼-5FBMDTK-1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.156,"065920783043968642,1,1745894398",0
在线,B2-A3-79-B7-39-48,10.102.49.236,NCU-2.4G,2.4G,1,,前湖南-博士楼-4f-430,NCDX-AC-H3C,无线/前湖南/博士楼,10.1.0.16,10.137.4.19,,922908
离线,C2-B3-F4-15-CF-BF,,NCUWLAN-TEST,2.4G,,,前湖南-第一教学大楼-304-G2,NCDX-AC-H3C,无线/前湖南/第一教学大楼,10.1.0.16,10.157.16.31,,0
离线,F2-B2-E7-20-C6-59,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,92-BC-D2-B2-1D-59,10.208.103.142,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
在线,42-CD-0B-94-49-30,10.182.248.226,NCUWLAN,2.4G,161,,9844-ced7-58e0,AirEngine9700S-S,,10.1.0.17,210.35.253.28,"381229844217206624,1,1758028774",50440
离线,0A-52-59-09-06-CE,,,2.4G,,,前湖北-艺术楼-A124,ncu-wlan-local,无线/前湖北/艺术楼,10.1.0.14,10.62.0.202,,0
离线,F2-2C-20-34-3A-60,,NCUWLAN,2.4G,,,前湖北-前湖图书馆-7f-a0705-2,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.130,"891240721471045275,1,1749377176",0
离线,4C-79-6E-41-38-0E,,NCUWLAN,5G,,,青山湖北-软件楼-126-G1,NCDX-AC-H3C,无线/青山湖北/软件楼,10.1.0.16,10.160.8.6,,0
离线,0A-12-93-04-65-47,,NCUWLAN-TEST,5G,,,前湖南-第一教学大楼-104-G2,NCDX-AC-H3C,无线/前湖南/第一教学大楼,10.1.0.16,10.157.16.29,"642265223919032893,1,1745156898",0
离线,72-09-D4-6C-11-77,,,,,,,NCDX-AC-H3C,,10.1.0.16,,,0
离线,26-33-16-95-3E-57,,NCUWLAN,2.4G,,,前湖南-第二实验楼-424-1-G8,NCDX-AC-H3C,无线/前湖南/第二实验大楼,10.1.0.16,10.157.16.219,"058755902242308917,1,1750161405",0
离线,22-41-A5-0B-61-C8,,,2.4G,,,前湖南-教学楼2-402,ncu-wlan-master,无线/前湖南/第二教学大楼,10.1.0.13,10.70.0.119,,0
离线,82-D2-89-DD-46-04,0.0.0.0,NCUWLAN,5G,,,东湖南-大学生活动中心-1F-1,RUIJIE-AC,无线/东湖南/大学生活动中心,10.1.0.15,10.74.0.32,,0
离线,18-26-49-EC-56-8A,10.202.72.242,NCUWLAN,5G,165,,前湖北-艺术楼-2F-A223,RUIJIE-AC,无线/前湖北/艺术楼,10.1.0.15,10.62.0.181,"095007087989160764,1,1749024400",0
离线,52-8B-BF-BE-DF-82,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,B2-FD-C4-E9-D5-69,10.208.134.210,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,E2-F5-7C-A5-B9-EE,10.202.31.254,NCUWLAN,2.4G,,,前湖北-机电楼-D211-8口光,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.134.66,,0
离线,86-73-57-6A-60-B3,,NCUWLAN-TEST,2.4G,,,前湖南-第二教学大楼-213-G4,NCDX-AC-H3C,无线/前湖南/第二教学大楼,10.1.0.16,10.157.16.154,"246464111070184476,1,1742540744",0
离线,12-20-1E-4D-9E-C5,,NCUWLAN,5G,,,食品创新研究院-DBF-DQ-230,NDSPXY_AC,无线/前湖北/食品学院,10.1.0.19,10.139.248.36,,0
离线,62-C9-CC-B3-D1-B2,10.202.8.70,NCUWLAN,2.4G,6,,前湖北-6栋学工楼-302-Map1,RUIJIE-AC,无线/前湖北/6栋学工楼,10.1.0.15,222.204.94.64,"511417140380871722,1,1742444571",0
离线,36-76-EF-27-7F-FE,,,2.4G,,,前湖北-艺术楼-B221,ncu-wlan-master,无线/前湖北/艺术楼,10.1.0.13,10.63.0.124,,0
离线,FE-AF-5B-42-37-65,,NCUWLAN,5G,,,前湖南-第一教学大楼-1FJMDT-1,NCDX-AC-H3C,无线/前湖南/第一教学大楼,10.1.0.16,10.157.16.146,,0
在线,D0-65-78-D8-49-D8,10.202.215.253,NCUWLAN,5G,,,前湖北-信工楼-C510A-1,NCU_HW_AC1,无线/前湖北/信工楼,10.1.0.18,10.133.1.243,"527326584625846555,2,1758077433",10571
离线,02-09-BB-23-86-A6,,,,,,,NCDX-AC-H3C,,10.1.0.16,,"535434342919387917,1,1757770939",0
离线,4A-6C-2C-1A-FB-52,,,,,,,NCDX-AC-H3C,,10.1.0.16,,"673609293416397202,1,1748916095",0
离线,E6-67-C8-73-1B-FB,10.202.174.217,NCUWLAN,5G,52,,前湖北-机电楼-3F-E330,RUIJIE-AC,无线/前湖北/机电楼,10.1.0.15,10.54.246.70,"734564533744675292,1,1743993601",0
离线,22-62-5F-3C-60-21,,,2.4G,,,东湖南-基础教学楼-南院-3F-3002,ncu-wlan-master,无线/东湖南/基础教学楼,10.1.0.13,10.63.0.123,,0
离线,D2-03-CF-D6-90-88,,FITI-NCU,2.4G,,,前湖北-行政楼-2f-07,NCDX-AC-H3C,无线/前湖北/行政楼,10.1.0.16,10.67.0.10,,0
离线,8E-A5-B8-E3-1A-43,,NCUWLAN,5G,,,前湖北-行政楼-414,ncu-wlan-master,无线/前湖北/行政楼,10.1.0.13,10.67.0.38,"089445033488203691,1,1756893483",0
离线,32-F0-A0-F1-DB-89,,NCU-2.4G,2.4G,,,前湖北-体育场-101,ncu-wlan-master,无线/前湖北/体育场,10.1.0.13,10.63.0.10,"484303845752811607,1,1757826888",0
离线,92-05-60-E0-18-9B,10.208.15.22,NCUWLAN,5G,60,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,,0
离线,F2-C3-C0-BE-C9-EB,10.208.71.209,NCUWLAN,5G,36,,东湖南-基础教学楼-349,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.110,,0
离线,E2-0D-36-20-53-FE,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,F2-01-D9-2A-DD-BB,,NCUWLAN,5G,,,前湖北-慧源楼-123-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.32,"980311924090366259,1,1754625073",0
离线,72-D5-4C-92-B2-3A,,NCU-2.4G,5G,,,前湖北-前湖图书馆-20f-a2001-1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.99,,0
离线,62-A3-8F-32-2C-0F,,NCUWLAN,5G,,,东湖南-研究生楼-108,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.4,,0
离线,72-2F-1F-E8-98-F0,10.202.226.73,NCUWLAN-test,2.4G,,,前湖北-环材楼-C623-8口光,NCU_HW_AC1,无线/前湖北/环材楼,10.1.0.18,10.151.128.115,,0
离线,62-AD-CA-30-3E-30,,NCUWLAN,2.4G,,,前湖北-图书馆-A1301-G1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.203,,0
离线,FA-F9-CC-AF-E3-D8,10.202.211.208,NCUWLAN,2.4G,9,,前湖北-智华科技楼-ap720-l-B-N-4F-1,RUIJIE-AC,无线/前湖北/智华科技楼,10.1.0.15,10.80.0.85,"522973531654643259,1,1758072907",0
离线,42-B4-4C-D7-F0-5F,10.202.51.89,NCUWLAN,2.4G,1,,前湖北-行政楼-317,RUIJIE-AC,无线/前湖北/行政楼,10.1.0.15,10.152.6.3,,0
离线,CE-A5-4B-B3-5B-96,10.208.165.42,NCUWLAN,5G,36,,东湖南-大学生活动中心-1F-1,RUIJIE-AC,无线/东湖南/大学生活动中心,10.1.0.15,10.74.0.32,"443311950401657031,1,1747627340",0
离线,92-FB-91-D1-76-81,,NCUWLAN,5G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,E2-CB-EB-60-74-C8,10.208.2.99,NCUWLAN,2.4G,11,,东湖南-科技楼-6F-04,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.120,,0
离线,AE-3E-0C-B8-B1-8D,,YX2025,2.4G,,,青山湖北-软件楼-有线-1,NCDX-AC-H3C,无线/青山湖北/软件楼,10.1.0.16,10.160.8.174,,0
离线,92-05-B6-33-24-EF,,NCUWLAN,5G,,,东湖南-研究生楼-108,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.4,,0
离线,22-06-67-C5-76-F3,,NCUWLAN,5G,,,前湖南-第一教学大楼-310-G1,NCDX-AC-H3C,无线/前湖南/第一教学大楼,10.1.0.16,10.157.16.6,"928498770733515985,1,1758077456",0
离线,62-62-60-96-7C-87,,NCUWLAN,2.4G,,,东湖南-基础教学楼-4F-09,NCDX-AC-H3C,无线/东湖南/基础教学楼,10.1.0.16,10.81.0.178,,0
离线,92-AA-AA-96-36-E1,,,,,,,NCDX-AC-H3C,,10.1.0.16,,,0
离线,02-55-90-82-2A-A8,10.208.212.44,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,,0
离线,3E-E9-98-0B-5D-49,,NCU-2.4G,2.4G,,,东湖南-基础教学楼-南院-3F-3002,ncu-wlan-master,无线/东湖南/基础教学楼,10.1.0.13,10.63.0.123,,0
离线,E2-0D-7B-BB-8D-8A,10.208.0.52,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,92-B5-F5-E1-4B-6B,10.202.66.92,NCUWLAN,2.4G,,,前湖北-机电楼-E624-G1,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.129.113,,0
离线,D2-68-2F-EB-C2-E2,10.202.98.175,NCUWLAN,2.4G,6,,前湖北-24栋-一站式学生服务中心-P-2,RUIJIE-AC,无线/前湖北/一站式学生服务中心,10.1.0.15,222.204.8.245,,0
离线,5A-67-8F-15-88-12,10.101.138.60,NCU-2.4G,5G,44,,东湖南-图书馆-102-2,RUIJIE-AC,无线/东湖南/图书馆,10.1.0.15,10.74.0.38,,0
离线,32-41-C2-7D-A9-DB,,NCUWLAN,2.4G,,,青山湖南-保卫处-01,NCDX-AC-H3C,无线/青山湖南/保卫处,10.1.0.16,10.76.32.207,,0
离线,82-7F-0C-F6-7B-87,,,2.4G,,,东湖南-成教楼-507,ncu-wlan-master,无线/东湖南/成教学院,10.1.0.13,10.81.0.92,,0
离线,64-C7-53-E2-EB-7A,10.202.93.118,NCUWLAN,5G,149,,前湖北-智华科技楼-ap720-l-B-N-5F-5,RUIJIE-AC,无线/前湖北/智华科技楼,10.1.0.15,10.80.0.90,"578863465007472219,1,1750561308",0
离线,16-B7-DC-12-8D-68,10.202.87.21,NCUWLAN,2.4G,6,,前湖北-24栋-一站式学生服务中心-P-3,RUIJIE-AC,无线/前湖北/一站式学生服务中心,10.1.0.15,222.204.8.246,"935801781221026896,1,1757919678",0
离线,F2-D4-29-D5-C0-B3,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,92-42-72-7D-7D-E7,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,26-B3-78-DB-BF-A5,10.202.118.56,NCUWLAN,2.4G,5,,前湖北-机电楼-5F-E537,RUIJIE-AC,无线/前湖北/机电楼,10.1.0.15,10.54.215.108,"567771901245135072,1,1745998828",0
离线,D6-C9-96-DB-26-52,,NCU-2.4G,2.4G,,,前湖北-文法楼-5f-a-19,NCDX-AC-H3C,无线/前湖北/文法楼,10.1.0.16,10.63.0.177,"219527267490922276,1,1745855068",0
离线,52-89-0C-D6-68-4E,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,B6-AD-35-39-8F-C1,,NCUWLAN,5G,,,前湖北-理科楼-6f-b-03,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.131.217,"595158804155525007,1,1752199916",0
离线,32-C4-1E-04-36-55,10.202.254.208,NCUWLAN,5G,44,,前湖南-食堂05,RUIJIE-AC,无线/前湖南/食堂,10.1.0.15,10.191.0.247,"987168096232019035,1,1744117770",0
离线,EE-ED-00-80-E9-5A,10.202.106.160,NCUWLAN,5G,161,,前湖北-研究生楼-1F-114,RUIJIE-AC,无线/前湖北/研究生楼,10.1.0.15,10.183.5.62,"969430749880511433,1,1757586781",0
离线,00-60-92-81-A1-47,,NCUWLAN,2.4G,,,青山湖北-附属中学-初中2F203,AirEngine9700S-S,无线/青山湖北/附属中学,10.1.0.17,210.35.253.17,,0
离线,52-1D-3E-6B-B6-3E,10.208.55.232,NCUWLAN,2.4G,6,,东湖南-大学生活动中心-3F-01,RUIJIE-AC,无线/东湖南/大学生活动中心,10.1.0.15,10.74.0.28,,0
离线,BA-41-BD-7B-C2-60,10.202.132.226,NCUWLAN,5G,1,,前湖北-慧源楼-123-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.32,,0
离线,1E-89-E2-A1-9E-24,,,2.4G,,,前湖北-天健园,ncu-wlan-master,无线/前湖北/天健院,10.1.0.13,10.191.0.128,"935191012661173648,1,1753177462",0
离线,32-E4-33-6A-25-65,,,2.4G,,,前湖南-教学楼2-105,ncu-wlan-master,无线/前湖南/第二教学大楼,10.1.0.13,10.70.0.83,,0
离线,1C-D1-07-D7-98-5F,,NCUWLAN,5G,,,前湖北-慧源楼-111-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.14,"154924286382527386,1,1748172541",0
离线,32-BA-AC-37-D2-64,,NCUWLAN,2.4G,,,前湖南-实验楼1-2f-01,NCDX-AC-H3C,无线/前湖南/第一实验大楼,10.1.0.16,10.70.0.199,,0
离线,4E-8A-6C-57-21-0B,10.202.83.123,NCUWLAN,2.4G,5,,前湖北-9~10-食堂03,RUIJIE-AC,,10.1.0.15,10.191.0.159,,0
离线,40-45-DA-6D-D1-AC,,,2.4G,,,blg-3f-3,ncu-wlan-master,,10.1.0.13,10.76.161.177,,0
离线,B2-89-1F-4D-5F-71,,,2.4G,,,blg-3f-3,ncu-wlan-master,,10.1.0.13,10.76.161.177,,0
离线,32-90-0E-4C-B7-A0,,,2.4G,,,青山湖北-成教楼-402,ncu-wlan-master,无线/青山湖北/成教楼,10.1.0.13,10.76.123.78,,0
离线,72-36-7D-06-87-58,10.208.222.247,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,,0
离线,B6-96-AD-14-FE-D5,,,5G,,,前湖北-行政楼-1ldtk,ncu-wlan-master,无线/前湖北/行政楼,10.1.0.13,10.67.0.40,,0
离线,98-43-FA-4C-29-E4,,NCUWLAN,5G,,,前湖北-材料环境楼-A220-1,NCU_HW_AC1,无线/前湖北/环材楼,10.1.0.18,222.204.17.39,"237063828692649849,2,1758077445",0
离线,3C-0A-F3-61-87-A8,10.202.106.223,NCUWLAN,2.4G,1,,前湖北-艺术楼-a106,ncu-wlan-local,无线/前湖北/艺术楼,10.1.0.14,10.62.0.188,,0
离线,0E-C7-1C-70-3C-A9,,NCUWLAN,5G,,,前湖北-行政楼-1f-01,NCDX-AC-H3C,无线/前湖北/行政楼,10.1.0.16,10.67.0.55,,0
离线,F2-03-43-65-0C-BE,10.208.154.152,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,,0
离线,82-71-A4-09-7A-2C,,NCUWLAN-TEST,2.4G,,,前湖北-慧源楼-4FBMDTK-1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.151,"873162552575417738,1,1746754619",0
离线,DE-67-11-34-2A-0F,0.0.0.0,NCUWLAN,2.4G,1,,东湖南-科技楼-6F-01,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.28,"829599665678838806,1,1741139967",0
在线,02-04-07-A1-97-EA,10.208.72.85,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,1196746
离线,22-06-D2-1F-17-49,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,EE-31-8B-EE-59-4E,10.208.146.66,NCUWLAN,5G,44,,东湖南-大学生活动中心-1F-2,RUIJIE-AC,无线/东湖南/大学生活动中心,10.1.0.15,10.74.0.33,"705857750869034869,1,1757739883",0
离线,92-E8-0A-E7-22-41,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,E2-E0-FD-E7-71-3B,,,2.4G,,,青山湖南_老干办_3,ncu-wlan-master,,10.1.0.13,10.70.0.4,,0
离线,12-DC-98-82-B3-BB,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,06-2F-E9-80-88-4F,,NCUWLAN-TEST,5G,,,东湖南-继教楼-105-C1,NCDX-AC-H3C,无线/东湖南/继续教育学院,10.1.0.16,210.35.150.14,"381905719918208298,1,1746597753",0
离线,B4-B5-B6-74-78-4F,10.202.66.23,NCUWLAN,5G,149,,前湖北-数据中心2F-230,RUIJIE-AC,无线/前湖北/数据中心,10.1.0.15,10.161.128.10,"zcglc004,1,1750142071",0
离线,82-AD-F1-1A-6F-EE,10.202.150.20,NCUWLAN,5G,,,前湖北-机电楼-D209B-4口光,NCU_HW_AC1,无线/前湖北/机电楼,10.1.0.18,10.151.130.153,,0
离线,0E-44-0B-9E-53-9B,,NCU-2.4G,2.4G,,,前湖北-理科楼-7f-b-02,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.54.58,"437331569773422224,1,1751429768",0
离线,22-C3-79-50-44-DA,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,92-B3-A8-AE-F4-24,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
在线,0E-B9-65-F2-EB-F4,10.210.95.168,NCUWLAN,5G,149,,青山湖北-分析测试中心-3f-03,NCDX-AC-H3C,无线/青山湖北/分析测试中心,10.1.0.16,10.76.204.125,"229790133701443379,2,1758077850",229536
离线,F2-91-45-DF-D7-46,,NCUWLAN,5G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
在线,C2-60-9B-6B-3B-69,10.202.231.119,NCUWLAN,5G,157,,前湖北-慧源楼-519-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.54,"081335015335341599,1,1757904420",174531
离线,72-8E-F8-9E-9C-A6,,NCU-2.4G,2.4G,,,前湖北-文法楼-4f-a-11,NCDX-AC-H3C,无线/前湖北/文法楼,10.1.0.16,10.63.0.67,"424737138602247767,1,1758074322",0
离线,72-C3-E1-E7-5C-F2,,NCU-2.4G,2.4G,,,前湖北-前湖图书馆-6f-w02,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.82,"352347872952469215,1,1750221414",0
离线,D6-41-11-BF-85-CE,10.202.95.98,NCUWLAN,5G,44,,前湖北-智华科技楼-ap720-l-A-04F-11,RUIJIE-AC,无线/前湖北/智华科技楼,10.1.0.15,10.80.0.137,,0
离线,F2-84-34-B8-AE-5F,,,,,,,NCDX-AC-H3C,,10.1.0.16,,,0
离线,72-4E-85-8F-74-03,,NCUWLAN,5G,,,前湖北-前湖图书馆-2f-a0206-1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.152.16.56,"663347699995774188,1,1742964546",0
离线,BA-F0-3A-13-32-6B,10.202.65.43,NCUWLAN,5G,153,,前湖北-文法楼-3F-A322,RUIJIE-AC,无线/前湖北/文法楼,10.1.0.15,10.63.1.54,"054777048659704048,1,1745986749",0
在线,1E-60-83-B8-69-4F,10.208.96.195,NCUWLAN,5G,149,,东湖南-继教楼-206-C1,NCDX-AC-H3C,无线/东湖南/继续教育学院,10.1.0.16,210.35.151.129,"237835864804167986,2,1758077495",3992
离线,BE-1D-23-AF-E0-3F,10.202.5.192,NCUWLAN,2.4G,5,,前湖北-主教楼-4F-B422,RUIJIE-AC,无线/前湖北/主教学楼,10.1.0.15,10.62.1.11,"982385446974296045,1,1744190668",0
离线,56-E1-F6-04-6F-13,,NCU-2.4G,2.4G,,,前湖北-理科楼-8f-b-16,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.147.141,,0
离线,5A-30-D0-26-56-3E,10.202.32.57,NCUWLAN,5G,44,,前湖北-主教楼-1F-A104,RUIJIE-AC,无线/前湖北/主教学楼,10.1.0.15,10.62.0.178,"460473245305523193,1,1745403274",0
离线,A2-6C-3A-F0-08-E7,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,DE-D3-A0-D7-8F-8B,,NCUWLAN,5G,,,前湖北-图书馆-208-G1,NCDX-AC-H3C,无线/前湖北/图书馆,10.1.0.16,10.160.8.181,"040983890981366143,1,1755786577",0
离线,82-1B-7C-5B-F6-C9,,NCUWLAN,2.4G,,,东湖南-基础教学楼-4F-09,NCDX-AC-H3C,无线/东湖南/基础教学楼,10.1.0.16,10.81.0.178,,0
离线,24-1B-7A-4B-73-06,10.182.248.77,NCUWLAN,5G,60,,青山湖北-设计研究院-409,RUIJIE-AC,无线/青山湖北/行政楼(设计研究院),10.1.0.15,192.168.252.53,"717095080145318067,1,1748783869",0
离线,DE-00-59-E1-51-13,,NCUWLAN,5G,,,前湖北-慧源楼-114-C1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.23,"716787118585569720,1,1753675735",0
离线,02-57-5E-A6-6B-3F,,NCUWLAN-TEST,5G,,,东湖南-继教楼-203-C1,NCDX-AC-H3C,无线/东湖南/继续教育学院,10.1.0.16,210.35.149.248,"308902721493301985,1,1747007892",0
离线,62-9B-69-0C-F9-55,,NCUWLAN,5G,,,前湖南-第二教学大楼-114-G4,NCDX-AC-H3C,无线/前湖南/第二教学大楼,10.1.0.16,10.157.16.152,"693078058277405383,1,1748774269",0
离线,CE-60-D8-97-80-B2,10.208.9.74,NCUWLAN,5G,161,,东湖南-基础教学楼-223,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.116,,0
离线,92-47-20-BD-DB-26,,NCUWLAN-TEST,5G,,,前湖北-慧源楼-5FBMDTK-1,NCDX-AC-H3C,无线/前湖北/慧源楼,10.1.0.16,10.155.8.156,,0
离线,62-CB-62-B8-F4-05,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,D2-FF-6E-A9-81-4E,,NCUWLAN,5G,,,青山湖北-室外-1号门,NCDX-AC-H3C,,10.1.0.16,10.76.240.35,,0
离线,E2-A4-91-61-51-B5,10.208.147.33,NCUWLAN,5G,149,,东湖南-科技楼-6F-06,RUIJIE-AC,无线/东湖南/科技楼,10.1.0.15,10.75.128.6,,0
离线,A2-A7-9F-BB-89-72,10.208.24.44,NCUWLAN,5G,36,,东湖南-基础教学楼-349,RUIJIE-AC,无线/东湖南/基础教学楼,10.1.0.15,10.81.0.110,,0
离线,66-AA-EF-42-48-46,,NCU-2.4G,2.4G,,,前湖北-理科楼-8f-b-06,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.218.162,"754811577173243753,1,1748084412",0
离线,F6-2E-1E-69-44-FB,10.202.208.138,NCUWLAN,5G,157,,前湖北-文法楼-3F-A318,RUIJIE-AC,无线/前湖北/文法楼,10.1.0.15,10.63.1.50,,0
离线,32-B3-1E-5C-D3-77,,NCUWLAN,2.4G,,,青山湖北-附属中学-高中4F419,AirEngine9700S-S,无线/青山湖北/附属中学,10.1.0.17,210.35.253.31,,0
离线,E2-2B-83-79-03-93,,,,,,,NCDX-AC-H3C,,10.1.0.16,,"149662184392506939,1,1750514797",0
离线,12-19-5A-1D-CA-F2,,NCUWLAN,2.4G,,,青山湖北-室外-上海路北门,NCDX-AC-H3C,,10.1.0.16,10.76.132.226,,0
离线,8A-64-E6-88-D3-A7,,NCU-2.4G,5G,,,前湖北-理科楼-8f-b-21,NCDX-AC-H3C,无线/前湖北/理科楼,10.1.0.16,10.54.103.90,,0
离线,F2-CA-01-02-13-62,,NCUWLAN,5G,,,前湖北-文法楼-1f-a-05,NCDX-AC-H3C,无线/前湖北/文法楼,10.1.0.16,10.63.0.39,,0
离线,42-06-6E-9D-54-E0,,NCUWLAN,5G,,,青山湖北-附属中学-初中3F303,AirEngine9700S-S,无线/青山湖北/附属中学,10.1.0.17,210.35.253.4,"596380083649882228,1,1751542105",0
离线,F2-70-08-A8-69-7A,,NCUWLAN,5G,,,东湖南-研究生楼-502,NCDX-AC-H3C,无线/东湖南/研究生楼,10.1.0.16,10.74.0.7,,0
